Table 6 43: Timeframe for the implementation,,,,,,,,,,,,,
,Activities,2024 Maha,,2025 Yala,,2025 Maha,,2026 Yala,,2026 Maha,,2027 Yala,
1,Supporting Export of agricultural crops,,,,,,,,,,,,
1.1, Identification of farmers and conducting basic awareness on cultivation of export agriculture crops,,,,,,,,,,,,
1.2, Make initial arrangements with DEA to supply plants.,,,,,,,,,,,,
1.3,"Supply and distribution of plants (Coffee, Pepper, Vanilla, Clove, Ginger)",,,,,,,,,,,,
1.4,Conducting awareness quality improvement and minimizing post-harvest losses,,,,,,,,,,,,
1.5,Monitoring and supervision,,,,,,,,,,,,
2,Supporting paddy cultivation,,,,,,,,,,,,
2.1,Identification and signing of MoU with selected farmers ,,,,,,,,,,,,
2.2,Conducting basic awareness of the “Parachute method.”,,,,,,,,,,,,
2.3,Arranging of farmers contribution (50% of the cost),,,,,,,,,,,,
2.4,Supply and distribution of seed planting trays,,,,,,,,,,,,
2.5,Monitoring and supervision ,,,,,,,,,,,,
3,Supporting the protection of crops from animals,,,,,,,,,,,,
3.1,Identification and signing of MoU with selected farmers ,,,,,,,,,,,,
3.2,Conduct awareness on agricultural crop protection from wild animals,,,,,,,,,,,,
3.3,Arranging of farmer contribution (50% of the cost),,,,,,,,,,,,
3.4,Supply and distributions of electric fence (Viduli Pambaya),,,,,,,,,,,,
3.5,Monitoring and supervision,,,,,,,,,,,,
4,Implementation of protected agricultural methods (polytunnel),,,,,,,,,,,,
4.1,Identification and signing of MoU with selected farmers ,,,,,,,,,,,,
4.2,Conduct awareness on protected agriculture ,,,,,,,,,,,,
4.3,Arranging of farmer contribution (50% of the cost),,,,,,,,,,,,
4.4,Supply and distributions of polytunnel,,,,,,,,,,,,
4.5,Monitoring and supervision,,,,,,,,,,,,
5,"Supporting fruit cultivation (Banna, Mango, Avocado)",,,,,,,,,,,,
5.1,Identification farmers and conducting basic awareness on cultivation,,,,,,,,,,,,
5.2,Land preparation for cultivation,,,,,,,,,,,,
5.3,Supply and distributions of fruit plants to the farmers,,,,,,,,,,,,
5.4,Monitoring and supervision,,,,,,,,,,,,
6,Introducing of value addition and new technology ,,,,,,,,,,,,
6.1,Identification and signing of MoU with selected farmers/ producers ,,,,,,,,,,,,
6.2,Conducting basic awareness on processing ,,,,,,,,,,,,
6.3,"Supply and distribution of the following machines and Equipment to the farmers and producers - Black pepper-making machines (Balancing kit), White pepper production machines, Curry powder grinding, Jackfruit drying machines, Alimana chopper machines, and Ginger slicing machines. Areca nut slicing machines, Incubator (Chick hatching)",,,,,,,,,,,,
6.4,Monitoring and supervision,,,,,,,,,,,,
7,Supporting animal husbandry,,,,,,,,,,,,
7.1,Identification and signing of MOU with selected farmers ,,,,,,,,,,,,
7.2,Conducting basic awareness programs,,,,,,,,,,,,
7.3,"Supply and providing of suitable animals - Cows, Goat, Chicks",,,,,,,,,,,,
7.4,"Providing support to the construction of sheds, Sheds - cow, Sheds – goat",,,,,,,,,,,,
7.5,Monitoring and supervision,,,,,,,,,,,,
8,Supporting vegetable cultivation ,,,,,,,,,,,,
8.1,Identification of farmers and conducting basic awareness on cultivation,,,,,,,,,,,,
8.2,"Supply and distribution of vegetable seeds (Capsicum, Cabbages, Green Chili, Beans, Tomato)",,,,,,,,,,,,
8.3,Conducting awareness on minimizing of post-harvest losses,,,,,,,,,,,,
8.4,Monitoring and supervision,,,,,,,,,,,,
